keyword|datatype|description|unit
kpfmet.CRYOSTAT_R3|float|Within Cryostat red temp (sensor D4)|C
kpfmet.ECHELLE_BOTTOM|float|Echelle Bottom temp (sensor D1)|C
kpfmet.ECHELLE_TOP|float|Echelle Top temp (sensor C1)|C
kpfmet.FF_SRC|float|Flat field source temp|C
kpfmet.GREEN_CAMERA_BOTTOM|float|Green camera bottom temp (sensor C3)|C
kpfmet.GREEN_CAMERA_COLLIMATOR|float|Green camera collimator temp (sensor C4)|C
kpfmet.GREEN_CAMERA_ECHELLE|float|Green camera echelle temp (sensor D5)|C
kpfmet.GREEN_CAMERA_TOP|float|Green camera Top temp (sensor C2)|C
kpfmet.GREEN_GRISM_TOP|float|Green grism Top temp (sensor C5)|C
kpfmet.GREEN_LN2_FLANGE|float|Green LN2 Flange temp (sensor A)|C
kpfmet.PRIMARY_COLLIMATOR_TOP|float|Primary collimator Top temp (sensor D2)|C
kpfmet.RED_CAMERA_BOTTOM|float|Red Camera Bottom temp (sensor D5)|C
kpfmet.RED_CAMERA_COLLIMATOR|float|Red camera collimator temp (sensor C3)|C
kpfmet.RED_CAMERA_ECHELLE|float|Red camera echelle temp (sensor C4)|C
kpfmet.RED_CAMERA_TOP|float|Red camera top temp (sensor C5)|C
kpfmet.RED_GRISM_TOP|float|Red grism top temp (sensor C2)|C
kpfmet.RED_LN2_FLANGE|float|Red LN2 flange temp (sensor D1)|C
kpfmet.REFORMATTER|float|Reformatter temp (sensor A)|C
kpfmet.SCIENCE_CAL_FIBER_STG|float|Science Cal fiber stage temp|C
kpfmet.SCISKY_SCMBLR_CHMBR_EN|float|SciSky scrambler chamber end temp (sensor A)|C
kpfmet.SCISKY_SCMBLR_FIBER_EN|float|SciSky scrambler fiber end temp (sensor B)|C
kpfmet.SIMCAL_FIBER_STG|float|SimCal fiber stage temp|C
kpfmet.SKYCAL_FIBER_STG|float|SkyCal fiber stage temp|C
kpfmet.TEMP|float|Vaisala (Hallway) temp|C
kpfmet.TH_DAILY|float|ThAr Daily lamp temp|C
kpfmet.TH_GOLD|float|ThAr Gold lamp temp|C
kpfmet.U_DAILY|float|UNe Daily lamp temp|C
kpfmet.U_GOLD|float|UNe Gold lamp temp|C
kpfgreen.BPLANE_TEMP|float|Green Archon backplane temp|C
kpfgreen.BRD10_DRVR_T|float|Green Archon board 10 (Driver) temp|C
kpfgreen.BRD11_DRVR_T|float|Green Archon board 11 (Driver) temp|C
kpfgreen.BRD12_LVXBIAS_T|float|Green Archon board 12 (LVxBias) temp|C
kpfgreen.BRD1_HTRX_T|float|Green Archon board 1 (HeaterX) temp|C
kpfgreen.BRD2_XVBIAS_T|float|Green Archon board 2 (XV Bias) temp|C
kpfgreen.BRD3_LVDS_T|float|Green Archon board 3 (LVDS) temp|C
kpfgreen.BRD4_DRVR_T|float|Green Archon board 4 (Driver) temp|C
kpfgreen.BRD5_AD_T|float|Green Archon board 5 (AD) temp|C
kpfgreen.BRD7_HTRX_T|float|Green Archon board 7 (HeaterX) temp|C
kpfgreen.BRD9_HVXBIAS_T|float|Green Archon board 9 (HVxBias) temp|C
kpfgreen.CF_BASE_2WT|float|Green tip cold finger temp (2 wire)|C
kpfgreen.CF_BASE_T|float|Green base cold finger temp|C
kpfgreen.CF_BASE_TRG|float|Green base cold finger heater 1A target temp|C
kpfgreen.CF_TIP_T|float|Green tip cold finger temp|C
kpfgreen.CF_TIP_TRG|float|Green tip cold finger heater 1B target temp|C
kpfgreen.COL_PRESS|float|Green collimator ion pump pressure|Torr
kpfgreen.CRYOBODY_T|float|Green cryobody temp|C
kpfgreen.CRYOBODY_TRG|float|Green cryobody heater 7B target temp|C
kpfgreen.CURRTEMP|float|Green cold head temp|C
kpfgreen.ECH_PRESS|float|Green echelle ion pump pressure|Torr
kpfgreen.KPF_CCD_T|float|SSL temp sensor on Green CCD|C
kpfgreen.STA_CCD_T|float|STA temp sensor on Green CCD|C
kpfgreen.STA_CCD_TRG|float|Green CCD heater 7A target temp|C
kpfgreen.TEMPSET|float|Green set point for the cold head temp|C
kpfred.BPLANE_TEMP|float|Red Archon backplane temp|C
kpfred.BRD10_DRVR_T|float|Red Archon board 10 (Driver) temp|C
kpfred.BRD11_DRVR_T|float|Red Archon board 11 (Driver) temp|C
kpfred.BRD12_LVXBIAS_T|float|Red Archon board 12 (LVxBias) temp|C
kpfred.BRD1_HTRX_T|float|Red Archon board 1 (HeaterX) temp|C
kpfred.BRD2_XVBIAS_T|float|Red Archon board 2 (XV Bias) temp|C
kpfred.BRD3_LVDS_T|float|Red Archon board 3 (LVDS) temp|C
kpfred.BRD4_DRVR_T|float|Red Archon board 4 (Driver) temp|C
kpfred.BRD5_AD_T|float|Red Archon board 5 (AD) temp|C
kpfred.BRD7_HTRX_T|float|Red board Archon 7 (HeaterX) temp|C
kpfred.BRD9_HVXBIAS_T|float|Red board Archon 9 (HVxBias) temp|C
kpfred.CF_BASE_2WT|float|Red tip cold finger temp (2 wire)|C
kpfred.CF_BASE_T|float|Red base cold finger temp|C
kpfred.CF_BASE_TRG|float|Red base cold finger heater 1A target temp|C
kpfred.CF_TIP_T|float|Red tip cold finger temp|C
kpfred.CF_TIP_TRG|float|Red tip cold finger heater 1B target temp|C
kpfred.COL_PRESS|float|Red Collimator ion pump pressure|Torr
kpfred.CRYOBODY_T|float|Red Cryo Body temp|C
kpfred.CRYOBODY_TRG|float|Red Cryo body heater 7B target temp|C
kpfred.CURRTEMP|float|Red cold head temp|C
kpfred.ECH_PRESS|float|Red ion pump pressure|Torr
kpfred.KPF_CCD_T|float|SSL temp sensor on Red CCD|C
kpfred.STA_CCD_T|float|STA temp sensor on Red CCD|C
kpfred.STA_CCD_TRG|float|Red CCD heater 7A target temp|C
kpfred.TEMPSET|float|Set point for the Red cold head temp|C
kpfexpose.BENCH_C|float|HK Bench temp|C
kpfexpose.CAMBARREL_C|float|HK Camera barrel temp|C
kpfexpose.DET_XTRN_C|float|HK Detector external temp|C
kpfexpose.ECHELLE_C|float|HK Echelle temp|C
kpfexpose.ENCLOSURE_C|float|HK Enclosure temp|C
kpfexpose.RACK_AIR_C|float|HK Rack air temp|C
kpfvac.PUMP_TEMP|float|Vacuum motor temp|C
kpf_hk.COOLTARG|float|HK target temp|C
kpf_hk.CURRTEMP|float|HK current temp|C
kpfgreen.COL_CURR|float|Green Collimator Ion pump current|A
kpfgreen.ECH_CURR|float|Green Echelle Ion pump current|A
kpfred.COL_CURR|float|Red Collimator Ion pump current|A
kpfred.ECH_CURR|float|Red Echelle Ion pump current|A
kpfcal.IRFLUX|float|LFC Fiberlock IR Intensity|counts
kpfcal.VISFLUX|float|LFC Fiberlock Vis Intensity|counts
kpfcal.BLUECUTIACT|float|Blue cut amplifier 0 current|A
kpfmot.AGITSPD|float|Agitator motor raw velocity|counts/s
kpfmot.AGITTOR|float|Agitator motor torque|V
kpfmot.AGITAMBI_T|float|Agitator ambient temp|C
kpfmot.AGITMOT_T|float|Agitator motor temp|C
kpfpower.OUTLET_A1_Amps|float|Agitator motor current (Outlet A1)|mA
