# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2022.04.16
#
# Much of the original content of this table was incorporated into
# Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited until an updated version of the table is
# published.  Parts of this table for A/F/G stars also appeared in
# Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756, 154).  For
# example, Table 5 of Pecaut & Mamajek did not include the absolute
# magnitude and luminosity estimates, nor the properties of dwarfs of
# types L, T, Y, or O3-O8.
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia DR2 G/Bp/Rp, Sloan izY, 2MASS JHKs,
# MKO JK (for Y dwarfs), WISE W1/W2/W3/W4 photometry.
# G-V color is Gaia DR2 G - Johnson V.
#
#SpT   Teff  logT   BCv    logL   Mbol R_Rsun   Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks   M_J    M_Ks   Ks-W1   W1-W2  W1-W3  W1-W4   g-r   i-z  z-Y  Msun  #SpT  
O3V    44900 4.652 -4.01   5.82  -9.81 13.43   -5.80 -0.330  ...    ...    ...    ...    ...    ..... -1.175  ...    .....  .....  .....  .....  ....   ....   ...     ...    ...    ...     ...   ...  ...  59    O3V   
O9.5V  31900 4.504 -3.01   4.72  -7.06  7.50   -4.05 -0.307  ...    ...    ...    ...    ...   -0.125 -1.090  ...   -0.361 -0.977 -0.161 -0.069 -3.30  -3.073  ...     ...    ...    ...    -0.605 ...  ...  18.7  O9.5V 
B0V    31400 4.497 -2.99   4.65  -6.89  7.16   -3.90 -0.301  ...    ...    ...    ...    ...   -0.122 -1.070  ...   -0.355 -0.958 -0.159 -0.067 -3.17  -2.942  0.016   ...    ...    ...    -0.590 ...  ...  17.7  B0V   
B0.5V  29000 4.462 -2.83   4.43  -6.33  6.48   -3.50 -0.289  ...    ...    ...    ...    ...   -0.120 -1.030  ...   -0.338 -0.913 -0.153 -0.063 -2.80  -2.587  0.017   ...    ...    ...    -0.540 ...  ...  14.8  B0.5V 
B1V    26000 4.415 -2.58   4.13  -5.58  5.71   -3.00 -0.278  ...    ...    ...    ...    ...   -0.113 -0.995 -0.115 -0.325 -0.874 -0.148 -0.059 -2.33  -2.126  0.018   ...    ...    ...    -0.490 ...  ...  11.8  B1V   
B1.5V  24500 4.389 -2.44   3.91  -5.04  5.02   -2.60 -0.252 -0.274 -0.021  ...    ...    ...   -0.103 -0.910 -0.114 -0.281 -0.752 -0.132 -0.047 -2.03  -1.848  0.021   ...    ...    ...    -0.483 ...  ...  9.9   B1.5V 
B2V    20600 4.314 -2.03   3.43  -3.83  4.06   -1.80 -0.215 -0.219 -0.008  ...    ...    ...   -0.094 -0.790 -0.094 -0.230 -0.602 -0.113 -0.032 -1.34  -1.198  0.023   ...    ...    ...    -0.475 ...  ...  7.3   B2V   
B2.5V  18500 4.267 -1.77   3.20  -3.27  3.89   -1.50 -0.198 -0.206 -0.003  ...    ...    ...   -0.087 -0.732 -0.087 -0.210 -0.544 -0.105 -0.026 -1.09  -0.956  0.025   ...    ...    ...    -0.468 ...  ...  6.1   B2.5V 
B3V    17000 4.230 -1.54   2.99  -2.74  3.61   -1.20 -0.178 -0.184  0.001  ...    ...   -1.19  -0.083 -0.673 -0.080 -0.192 -0.492 -0.098 -0.021 -0.83  -0.708  0.026   ...    ...    ...    -0.460 ...  ...  5.4   B3V   
B4V    16400 4.215 -1.49   2.89  -2.49  3.46   -1.00 -0.165 -0.170  0.004  ...    ...   -0.99  -0.078 -0.619 -0.074 -0.176 -0.447 -0.092 -0.016 -0.66  -0.553  0.028   ...    ...    ...    -0.437 ...  ...  5.1   B4V   
B5V    15700 4.196 -1.34   2.77  -2.19  3.36   -0.85 -0.156 -0.160  0.007  ...    ...   -0.84  -0.072 -0.581 -0.070 -0.165 -0.380 -0.084 -0.010 -0.54  -0.376  0.029  -0.045 -0.117 -0.070  -0.413 ...  ...  4.7   B5V   
B6V    14500 4.161 -1.13   2.57  -1.68  3.27   -0.55 -0.140 -0.142  0.010  ...    ...   -0.54  -0.066 -0.504 -0.062 -0.145 -0.358 -0.081 -0.007 -0.28  -0.192  0.030  -0.045 -0.117 -0.070  -0.390 ...  ...  4.3   B6V   
B7V    14000 4.146 -1.05   2.48  -1.45  2.94   -0.40 -0.128 -0.129  0.012  ...    ...   -0.39  -0.062 -0.459 -0.058 -0.133 -0.325 -0.077 -0.004 -0.16  -0.075  0.031  -0.045 -0.117 -0.070  -0.360 ...  ...  3.92  B7V   
B8V    12300 4.090 -0.73   2.19  -0.73  2.86    0.00 -0.109 -0.107  0.016  ...    ...   -0.01  -0.045 -0.364 -0.048 -0.108 -0.254 -0.067  0.003  0.19   0.254  0.033  -0.046 -0.116 -0.067  -0.330 ...  ...  3.38  B8V   
B9V    10700 4.029 -0.42   1.86   0.08  2.49    0.50 -0.070 -0.063  0.018 -0.120 -0.036  0.515 -0.029 -0.200 -0.028 -0.061 -0.121 -0.050  0.016  0.59   0.621  0.038  -0.063 -0.104 -0.054  -0.280 ...  ...  2.75  B9V   
B9.5V  10400 4.017 -0.36   1.80   0.24  2.45    0.60 -0.050 -0.040  0.017 -0.087 -0.016  0.615 -0.021 -0.130 -0.017 -0.035 -0.048 -0.044  0.021  0.63   0.648  0.040  -0.044 -0.091 -0.043  -0.265 ...  ...  2.68  B9.5V 
A0V    9700  3.987 -0.21   1.58   0.78  2.193   0.99  0.000  0.013  0.015 -0.037 -0.020  1.00   0.000 -0.005  0.001  0.004  0.041 -0.032  0.028  0.95   0.949  0.042  -0.041 -0.074 -0.022  -0.250 ...  ...  2.18  A0V   
A1V    9300  3.968 -0.14   1.49   1.02  2.136   1.16  0.035  0.056  0.01   0.005  0.032  1.16   0.017  0.033  0.019  0.044  0.090 -0.025  0.030  1.08   1.07   0.043  -0.036 -0.068 -0.023  -0.210 ...  ...  2.05  A1V   
A2V    8800  3.944 -0.07   1.38   1.28  2.117   1.35  0.070  0.091  0.00   0.068  0.050  1.345  0.038  0.063  0.042  0.091  0.178 -0.012  0.034  1.19   1.172  0.044  -0.034 -0.067 -0.029  -0.170 ...  ...  1.98  A2V   
A3V    8600  3.934 -0.04   1.23   1.66  1.861   1.70  0.100  0.109 -0.005  0.110  0.092  1.69   0.055  0.077  0.050  0.108  0.253  0.003  0.035  1.49   1.447  0.045  -0.033 -0.066 -0.029  -0.140 ...  ...  1.86  A3V   
A4V    8250  3.917 -0.02   1.13   1.92  1.794   1.94  0.140  0.166 -0.01   0.166  0.113  1.92   0.071  0.097  0.078  0.164  0.353  0.022  0.037  1.65   1.587  0.046  -0.031 -0.059 -0.021  -0.090 ...  ...  1.93  A4V   
A5V    8100  3.908  0.00   1.09   2.01  1.785   2.01  0.160  0.185 -0.015  0.194  0.130  1.98   0.090  0.100  0.089  0.186  0.403  0.031  0.038  1.68   1.607  0.046  -0.030 -0.058 -0.021  -0.070 ...  ...  1.88  A5V   
A6V    7910  3.898  0.005  1.05   2.13  1.775   2.12  0.185  0.194 -0.02   0.222  0.152  2.09   0.099  0.098  0.094  0.197  0.465  0.043  0.039  1.74   1.655  0.046  -0.030 -0.057 -0.018  -0.050 ...  ...  1.83  A6V   
A7V    7760  3.890  0.01   1.00   2.24  1.750   2.23  0.210  0.233 -0.03   0.263  0.173  2.19   0.107  0.091  0.117  0.242  0.528  0.055  0.040  1.80   1.702  0.047  -0.030 -0.056 -0.017  -0.020 ...  ...  1.77  A7V   
A8V    7590  3.880  0.02   0.96   2.34  1.747   2.32  0.250  0.274 -0.04   0.320  0.204  2.27   0.132  0.082  0.140  0.288  0.601  0.070  0.042  1.81   1.694  0.048  -0.028 -0.055 -0.009   0.030 ...  ...  1.81  A8V   
A9V    7400  3.869  0.02   0.92   2.45  1.747   2.43  0.270  0.279 -0.05   0.327  0.207  2.37   0.145  0.080  0.143  0.294  0.674  0.086  0.044  1.89   1.756  0.048  -0.028 -0.055 -0.007   0.060 ...  ...  1.75  A9V   
F0V    7220  3.859  0.01   0.86   2.58  1.728   2.57  0.295  0.317 -0.06   0.377  0.230  2.51   0.158  0.053  0.166  0.339  0.734  0.096  0.045  1.98   1.836  0.049  -0.026 -0.050  0.003   0.100 ...  ...  1.61  F0V   
F1V    7020  3.846  0.005  0.79   2.77  1.679   2.76  0.330  0.350 -0.07   0.434  0.252  2.69   0.204  0.021  0.190  0.385  0.819  0.117  0.047  2.11   1.941  0.050  -0.026 -0.047  0.009   0.140 ...  ...  1.50  F1V   
F2V    6820  3.834 -0.005  0.71   2.97  1.622   2.97  0.370  0.390 -0.08   0.490  0.279  2.89   0.250 -0.008  0.213  0.432  0.925  0.140  0.050  2.24   2.045  0.051  -0.027 -0.046  0.011   0.190 ...  ...  1.46  F2V   
F3V    6750  3.829 -0.01   0.67   3.07  1.578   3.08  0.390  0.405 -0.09   0.518  0.293  2.99   0.263 -0.016  0.222  0.449  0.964  0.148  0.051  2.32   2.116  0.051  -0.028 -0.046  0.008   0.210 ...  ...  1.44  F3V   
F4V    6670  3.824 -0.015  0.62   3.19  1.533   3.20  0.410  0.428 -0.10   0.546  0.307  3.10   0.277 -0.026  0.236  0.476  1.012  0.159  0.052  2.40   2.188  0.052  -0.029 -0.046  0.000   0.240 ...  ...  1.38  F4V   
F5V    6550  3.816 -0.02   0.56   3.35  1.473   3.37  0.440  0.455 -0.11   0.587  0.329  3.26   0.290 -0.029  0.252  0.506  1.079  0.173  0.054  2.52   2.291  0.052  -0.030 -0.045 -0.004   0.280 ...  ...  1.33  F5V   
F6V    6350  3.803 -0.03   0.43   3.66  1.359   3.69  0.486  0.504 -0.13   0.640  0.356  3.56   0.317 -0.021  0.276  0.553  1.190  0.199  0.057  2.76   2.50   0.054  -0.033 -0.045 -0.012   0.290 ...  ...  1.25  F6V   
F7V    6280  3.798 -0.035  0.39   3.77  1.324   3.80  0.500  0.534 -0.14   0.670  0.372  3.66   0.332 -0.012  0.290  0.579  1.221  0.213  0.060  2.85   2.579  0.055  -0.036 -0.045 -0.013   0.320 ...  ...  1.21  F7V   
F8V    6180  3.791 -0.04   0.29   4.01  1.221   4.05  0.530  0.558 -0.15   0.694  0.385  3.90   0.350  0.001  0.300  0.599  1.290  0.225  0.061  3.05   2.76   0.056  -0.039 -0.044 -0.016   0.360 ...  ...  1.18  F8V   
F9V    6050  3.782 -0.05   0.22   4.20  1.167   4.25  0.560  0.587 -0.145  0.719  0.399  4.105  0.378  0.014  0.312  0.620  1.335  0.236  0.063  3.21   2.915  0.057  -0.041 -0.044 -0.014   0.380 ...  ...  1.13  F9V   
F9.5V  5990  3.777 -0.06   0.18   4.29  1.142   4.35  0.580  0.615 -0.155  0.767  0.431  4.195  ...    0.033  0.323  0.640  1.403  0.249  0.065  3.26   2.947  0.057  -0.042 -0.043 -0.012   0.390 ...  ...  1.08  F9.5V   
G0V    5930  3.773 -0.065  0.13   4.42  1.100   4.48  0.595  0.650 -0.155  0.784  0.439  4.325  ...    0.057  0.341  0.673  1.437  0.262  0.067  3.37   3.043  0.058  -0.043 -0.043 -0.010   0.420 ...  ...  1.06  G0V   
G1V    5860  3.768 -0.073  0.08   4.55  1.060   4.62  0.622  0.661 -0.158  0.803  0.448  4.462  ...    0.067  0.340  0.672  1.500  0.279  0.070  3.47   3.120  0.060  -0.044 -0.042 -0.010   0.450 ...  ...  1.03  G1V   
G2V    5770  3.761 -0.085  0.01   4.72  1.012   4.80  0.650  0.724 -0.165  0.823  0.459  4.635  ...    0.133  0.363  0.713  1.564  0.293  0.073  3.60   3.236  0.061  -0.050 -0.040 -0.016   0.476 ...  ...  1.00  G2V   
G3V    5720  3.757 -0.095 -0.01   4.78  1.002   4.87  0.660  0.739 -0.167  0.832  0.464  4.703  ...    0.152  0.368  0.722  1.588  0.299  0.074  3.66   3.282  0.061  -0.050 -0.040 -0.014   0.480 ...  ...  0.99  G3V   
G4V    5680  3.754 -0.10  -0.04   4.83  0.991   4.93  0.670  0.757 -0.173  0.841  0.468  4.757  ...    0.175  0.374  0.733  1.611  0.304  0.075  3.70   3.319  0.062  -0.052 -0.041 -0.014   0.490 ...  ...  0.985 G4V   
G5V    5660  3.753 -0.105 -0.05   4.88  0.977   4.98  0.680  0.764 -0.179  0.850  0.473  4.801  ...    0.185  0.377  0.738  1.635  0.310  0.076  3.73   3.345  0.062  -0.052 -0.041 -0.014   0.500 ...  ...  0.98  G5V   
G6V    5600  3.748 -0.115 -0.10   4.99  0.949   5.10  0.700  0.796 -0.186  0.869  0.483  4.914  ...    0.227  0.388  0.758  1.691  0.324  0.079  3.81   3.409  0.063  -0.053 -0.040 -0.012   0.520 ...  ...  0.97  G6V   
G7V    5550  3.744 -0.125 -0.13   5.08  0.927   5.20  0.710  0.809 -0.194  0.880  0.489  5.006  ...    0.243  0.393  0.766  1.705  0.327  0.080  3.90   3.495  0.064  -0.054 -0.040 -0.013   0.540 ...  ...  0.95  G7V   
G8V    5480  3.739 -0.14  -0.17   5.16  0.914   5.30  0.730  0.842 -0.202  0.900  0.499  5.098  ...    0.284  0.404  0.786  1.768  0.342  0.082  3.96   3.532  0.065  -0.057 -0.039 -0.018   0.570 ...  ...  0.94  G8V   
G9V    5380  3.731 -0.16  -0.26   5.39  0.853   5.55  0.775  0.894 -0.210  0.950  0.524  5.34   ...    0.358  0.423  0.820  1.857  0.364  0.087  4.14   3.693  0.067  -0.060 -0.038 -0.018   0.600 ...  ...  0.90  G9V   
K0V    5270  3.723 -0.195 -0.34   5.59  0.813   5.78  0.816  0.944 -0.227  0.983  0.56   5.553  ...    0.436  0.443  0.853  1.953  0.387  0.091  4.31   3.827  0.070  -0.063 -0.037 -0.015   0.620 ...  ...  0.88  K0V   
K1V    5170  3.713 -0.23  -0.39   5.72  0.797   5.95  0.857  0.976 -0.25   1.01   0.56   5.65   ...    0.491  0.457  0.879  2.06   0.404  0.094  4.39   3.889  0.071  -0.064 -0.038 -0.013   0.690 ...  ...  0.86  K1V   
K2V    5100  3.708 -0.26  -0.43   5.81  0.783   6.07  0.884  1.035 -0.27   1.10   0.62   5.83   ...    0.581  0.482  0.920  2.13   0.427  0.098  4.46   3.938  0.073  -0.068 -0.037 -0.009   0.740 ...  ...  0.82  K2V   
K3V    4830  3.684 -0.375 -0.55   6.13  0.755   6.50  0.990  1.150 -0.32   1.21   0.66   6.20   ...    0.776  0.537  1.013  2.40   0.487  0.109  4.70   4.100  0.079  -0.071 -0.031 -0.008   0.850 ...  ...  0.78  K3V   
K4V    4600  3.663 -0.52  -0.69   6.46  0.713   6.98  1.090  1.292 -0.42   1.34   0.70   6.53   ...    0.986  0.635  1.182  2.70   0.539  0.123  4.91   4.247  0.087  -0.072 -0.030  0.009   0.990 ...  ...  0.73  K4V   
K5V    4440  3.647 -0.63  -0.76   6.65  0.701   7.28  1.150  1.373 -0.44   1.43   0.74   6.83   ...    1.081  0.685  1.272  2.88   0.568  0.132  5.10   4.397  0.092  -0.073 -0.029  0.019   1.040 ...  ...  0.70  K5V   
K6V    4300  3.633 -0.75  -0.86   6.89  0.669   7.64  1.240  1.439 -0.51   1.53   0.79   7.02   ...    1.184  0.759  1.420  3.08   0.601  0.148  5.31   4.56   0.101   ...    ...    ...     1.140 ...  ...  0.69  K6V   
K7V    4100  3.613 -0.93  -1.00   7.23  0.630   8.16  1.340  1.506 -0.58   1.70   0.86   7.57   ...    1.222  0.802  1.519  3.35   0.619  0.164  5.59   4.81   0.110   ...    ...    ...     1.260 ...  ...  0.64  K7V   
K8V    3990  3.601 -1.03  -1.06   7.40  0.615   8.43  1.363  1.562 -0.625  1.73   0.88   7.74   ...    1.216  0.843  1.632  3.48   0.626  0.171  5.75   4.95   0.115   ...    ...    ...     1.290 ...  ...  0.62  K8V   
K9V    3930  3.594 -1.07  -1.10   7.49  0.608   8.56  1.400  1.593 -0.66   1.79   0.90   8.03   ...    1.210  0.866  1.699  3.55   0.631  0.180  5.82   5.01   0.117   ...    ...    ...     1.320 ...  ...  0.59  K9V   
M0V    3850  3.585 -1.15  -1.16   7.65  0.588   8.80  1.420  1.623 -0.70   1.84   0.92   8.16   ...    1.204  0.889  1.766  3.65   0.627  0.190  5.97   5.15   0.120   ...    ...    ...      ...  0.33 ...  0.57  M0V   
M0.5V  3770  3.576 -1.29  -1.27   7.91  0.544   9.20  1.445  ...   -0.76   1.97   0.97   8.44   ...    1.184  0.924  1.886  3.84   0.620  0.208  6.19   5.36   0.125   ...    ...    ...      ...  0.37 ...  0.54  M0.5V 
M1V    3660  3.563 -1.42  -1.39   8.22  0.501   9.64  1.485  ...   -0.82   2.09   1.00   8.82   ...    1.172  0.956  2.005  4.00   0.614  0.222  6.48   5.64   0.130   ...    ...    ...      ...  0.41 ...  0.50  M1V   
M1.5V  3620  3.559 -1.50  -1.44   8.35  0.482   9.85  1.495  ...   -0.87   2.13   1.02   8.98   ...    1.170  0.978  2.089  4.10   0.608  0.227  6.59   5.75   0.135   ...    ...    ...      ...  0.47 ...  0.47  M1.5V 
M2V    3560  3.551 -1.62  -1.54   8.59  0.446  10.21  1.505  ...   -0.925  2.23   1.06   9.29   ...    1.170  1.001  2.173  4.23   0.600  0.234  6.81   5.98   0.140   ...    ...    ...      ...  0.53 ...  0.44  M2V   
M2.5V  3470  3.540 -1.78  -1.64   8.82  0.421  10.61  1.522  ...   -1.02   2.39   1.10   9.67   ...    1.175  1.041  2.306  4.43   0.589  0.244  7.01   6.18   0.145   ...    ...    ...      ...  0.57 ...  0.40  M2.5V 
M3V    3430  3.535 -1.93  -1.79   9.21  0.361  11.15  1.53   ...   -1.10   2.50   1.13  10.05   ...    1.181  1.079  2.420  4.60   0.579  0.252  7.38   6.55   0.150   ...    ...    ...      ...  0.61 ...  0.37  M3V   
M3.5V  3270  3.515 -2.28  -2.03   9.82  0.300  12.10  1.60   ...   -1.28   2.78   1.19  10.87   ...    1.200  1.178  2.680  5.00   0.558  0.269  7.93   7.10   0.170   ...    ...    ...      ...  0.66 ...  0.27  M3.5V 
M4V    3210  3.507 -2.51  -2.14  10.10  0.274  12.61  1.65   ...   -1.40   2.94   1.24  11.21   ...    1.222  1.241  2.831  5.25   0.557  0.280  8.20   7.36   0.180   ...    ...    ...      ...  0.71 ...  0.23  M4V   
M4.5V  3110  3.493 -2.84  -2.40  10.74  0.217  13.58  1.69   ...   -1.54   3.16   1.28  12.04   ...    1.23   1.345  3.073  5.65   0.564  0.301  8.80   7.93   0.200   ...    ...    ...      ...  0.81 ...  0.184 M4.5V 
M5V    3060  3.486 -3.11  -2.52  11.04  0.196  14.15  1.83   ...   -1.70   3.35   1.33  12.45   ...    1.24   1.446  3.278  5.95   0.580  0.312  9.09   8.20   0.210   0.17   ...    ...      ...  0.91 0.47 0.162 M5V   
M5.5V  2930  3.467 -3.58  -2.79  11.72  0.156  15.30  1.94   ...   -1.95   3.71   1.38  13.35   ...    1.3    1.656  3.664  6.50   0.588  0.329  9.72   8.80   0.220   0.19   ...    ...      ...  1.13 0.52 0.123 M5.5V 
M6V    2810  3.449 -4.13  -2.98  12.19  0.137  16.32  2.01   ...   -2.37   4.16   1.43  14.26   ...    1.3    1.950  4.10   7.10   0.605  0.352 10.18   9.22   0.225   0.21   ...    ...      ...  1.45 0.60 0.102 M6V   
M6.5V  2740  3.438 -4.62  -3.10  12.48  0.126  17.10  2.07   ...   -2.70   4.50   1.48  14.40   ...    ...    1.988  4.26   7.60   0.609  0.360 10.47   9.50   0.235   0.22   ...    ...      ...  1.58 0.64 0.093 M6.5V 
M7V    2680  3.428 -4.99  -3.19  12.71  0.120  17.70  2.12   ...   -2.98   4.65   1.52  14.72   ...    ...    2.180  4.50   8.00   0.613  0.390 10.70   9.70   0.240   0.24   ...    ...      ...  1.77 0.70 0.090 M7V   
M7.5V  2630  3.420 -5.32  -3.24  12.84  0.116  18.16  2.14   ...   -3.15   4.72   1.55  15.20   ...    ...    2.160  4.56   8.35   0.650  0.422 10.88   9.81   0.260   0.25   ...    ...      ...  1.85 0.74 0.088 M7.5V 
M8V    2570  3.410 -5.65  -3.28  12.95  0.114  18.60  2.15   ...   -3.11   4.86   1.57  15.20   ...    ...    2.150  4.62   8.70   0.677  0.450 11.05   9.92   0.285   0.26   ...    ...      ...  1.93 0.77 0.085 M8V   
M8.5V  2420  3.384 -5.78  -3.47  13.42  0.104  19.20  2.16   ...   -3.09   5.10   1.59  15.90   ...    ...    1.967  4.63   8.90   0.69   0.465 11.46  10.30   0.310   0.265  ...    ...      ...  1.96 0.80 0.080 M8.5V 
M9V    2380  3.377 -5.86  -3.52  13.54  0.102  19.40  2.17   ...   -3.00   4.78   1.60  16.20   ...    ...    1.890  4.66   9.00   0.72   0.47  11.59  10.40   0.330   0.27   ...    ...      ...  1.99 0.82 0.079 M9V   
M9.5V  2350  3.371 -6.13  -3.57  13.67  0.101  19.75  ...    ...   -3.10   4.86   1.61  16.40   ...    ...    2.510  4.73   9.30   0.745  0.50  11.75  10.50   0.350   0.27   ...    ...      ...  2.00 0.84 0.078 M9.5V 
L0V    2270  3.356 -6.25  -3.60  13.75  0.102  20.0   ...    ...   -3.45   ...    1.68  16.60   ...    ...    ...    4.85   9.40   0.76   0.51  11.76  10.55   0.36    0.27   ...    ...      ...  2.01 0.86 0.077 L0V    
L1V    2160  3.334 -6.48  -3.71  14.02  0.0995 20.5   ...    ...    ...    ...    1.66  16.90   ...    ...    ...    4.91   9.65   0.82   0.54  12.12  10.77   0.37    0.28   ...    ...      ...  2.02 0.88 0.076 L1V    
L2V    2060  3.314 -6.62  -3.82  14.28  0.0970 20.9   ...    ...    ...    ...    1.69  17.30   ...    ...    ...    5.05   9.90   0.89   0.58  12.47  11.00   0.47    0.28   ...    ...      ...  2.04 0.90 0.075 L2V    
L3V    1920  3.283 -7.05  -3.96  14.65  0.0942 21.7   ...    ...    ...    ...    1.70  18.10   ...    ...    ...    5.29   10.1   0.97   0.61  12.78  11.40   0.50    0.29   ...    ...      ...  2.10 0.92 ...   L3V    
L4V    1870  3.272 -7.53  -4.01  14.77  0.0940 22.3   ...    ...    ...    ...    1.74  18.35   ...    ...    ...    5.57   10.5   1.00   0.63  13.09  11.50   0.60    0.30   ...    ...      ...  2.20 0.94 ...   L4V    
L5V    1710  3.233 -7.87  -4.20  15.23  0.0909 ...    ...    ...    ...    ...    1.71  18.50   ...    ...    ...    6.28   11.1   1.02   0.648 13.46  11.87   0.68    0.32   ...    ...      ...  2.33 0.97 ...   L5V    
L6V    1550  3.190 ...    -4.38  15.70  0.0891 ...    ...    ...    ...    ...    1.74  19.25:  ...    ...    ...    ...    ...    1.06   0.654 13.89  12.20   0.76    0.36   ...    ...      ...  2.51 1.00 ...   L6V    
L7V    1530  3.185 ...    -4.41  15.77  0.0886 ...    ...    ...    ...    ...    2.11  19.30:  ...    ...    ...    ...    ...    1.13   0.645 14.31  12.55   0.84    0.41   ...    ...      ...  2.71 1.04 ...   L7V    
L8V    1420  3.152 ...    -4.55  16.12  0.0875 ...    ...    ...    ...    ...    1.87  20.00:  ...    ...    ...    ...    ...    1.16   0.625 14.65  12.74   0.845   0.48   ...    ...      ...  2.93 1.09 ...   L8V    
L9V    1370  3.137 ...    -4.61  16.27  0.0877 ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    1.18   0.59  14.82  12.93   0.82    0.57   ...    ...      ...  3.15 1.16 ...   L9V
